epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,7.63745,2.52892,4.40063,2.69788,0.23038,0,0,0,0,2.41717,4.37798,2.84636,0.08792,0,0,0
2,15.3863,2.4335,4.25566,2.7686,0.26783,0,0,0,0,2.38329,4.36138,2.85288,0.08677,1.23763e-05,1.23763e-05,1.23763e-05
3,21.1687,2.41628,4.40308,2.96265,0.28366,0,0,0,0,2.31998,4.33017,2.83855,0.08337,2.4505e-05,2.4505e-05,2.4505e-05
4,25.9225,2.46632,4.40917,2.49722,0.24018,0,0,0,0,2.22474,4.27398,2.83106,0.07737,3.63862e-05,3.63862e-05,3.63862e-05
5,30.7274,2.32358,4.30762,2.55674,0.23885,0,0,0,0,2.14201,4.21038,2.82709,0.07147,4.802e-05,4.802e-05,4.802e-05
6,35.1285,2.36517,4.13779,2.74827,0.21913,0.0012,0.00278,4e-05,2e-05,2.05632,4.14711,2.80384,0.06612,5.94062e-05,5.94062e-05,5.94062e-05
7,39.5232,2.20465,4.10413,2.45487,0.24192,0.00211,0.00556,0.00013,3e-05,1.96514,4.07058,2.77814,0.06157,7.0545e-05,7.0545e-05,7.0545e-05
8,44.0873,2.13489,3.99326,2.60352,0.19098,0.01513,0.01726,0.00091,0.00046,1.88736,3.97074,2.73426,0.05732,8.14362e-05,8.14362e-05,8.14362e-05
9,49.3544,2.08226,3.91405,2.50166,0.16565,0.01682,0.03371,0.0017,0.00095,1.82498,3.85038,2.70103,0.05146,9.208e-05,9.208e-05,9.208e-05
10,54.0543,1.91604,3.69163,2.3363,0.12106,0.02957,0.08529,0.01102,0.00465,1.76046,3.71716,2.64421,0.04599,0.000102476,0.000102476,0.000102476
11,58.6328,2.00053,3.63377,2.48544,0.09447,0.04415,0.28874,0.03397,0.01918,1.68978,3.56443,2.58998,0.03904,0.000112625,0.000112625,0.000112625
12,62.9505,2.02665,3.55899,2.6013,0.11271,0.04873,0.40977,0.10512,0.04997,1.63206,3.39496,2.55541,0.03447,0.000122526,0.000122526,0.000122526
13,67.8279,1.67505,3.34873,2.16985,0.08657,0.30806,0.37943,0.14179,0.06752,1.57274,3.21183,2.52759,0.028,0.00013218,0.00013218,0.00013218
14,72.6922,1.86709,3.26456,2.12705,0.07206,0.49026,0.13178,0.1947,0.09855,1.51804,3.01878,2.49798,0.02624,0.000141586,0.000141586,0.000141586
15,77.632,1.75658,2.98368,2.17617,0.05832,0.54971,0.17315,0.22597,0.1188,1.4858,2.8121,2.48559,0.02286,0.000150745,0.000150745,0.000150745
